Sepal.Length	Sepal.Width	Petal.Length	Petal.Width
sampl_58	4.9	2.4	3.3	1
sampl_59	6.6	2.9	4.6	1.3
sampl_60	5.2	2.7	3.9	1.4
sampl_61	5	2	3.5	1
sampl_62	5.9	3	4.2	1.5
sampl_63	6	2.2	4	1
sampl_64	6.1	2.9	4.7	1.4
sampl_65	5.6	2.9	3.6	1.3
sampl_66	6.7	3.1	4.4	1.4
sampl_67	5.6	3	4.5	1.5
sampl_68	5.8	2.7	4.1	1
sampl_69	6.2	2.2	4.5	1.5
sampl_70	5.6	2.5	3.9	1.1
sampl_71	5.9	3.2	4.8	1.8
sampl_72	6.1	2.8	4	1.3
sampl_73	6.3	2.5	4.9	1.5
sampl_74	6.1	2.8	4.7	1.2
sampl_75	6.4	2.9	4.3	1.3
sampl_76	6.6	3	4.4	1.4
sampl_77	6.8	2.8	4.8	1.4
sampl_78	6.7	3	5	1.7
sampl_79	6	2.9	4.5	1.5
sampl_80	5.7	2.6	3.5	1
sampl_81	5.5	2.4	3.8	1.1
sampl_82	5.5	2.4	3.7	1
sampl_83	5.8	2.7	3.9	1.2
sampl_84	6	2.7	5.1	1.6
sampl_85	5.4	3	4.5	1.5
sampl_86	6	3.4	4.5	1.6
sampl_87	6.7	3.1	4.7	1.5
sampl_88	6.3	2.3	4.4	1.3
sampl_89	5.6	3	4.1	1.3
sampl_90	5.5	2.5	4	1.3
sampl_91	5.5	2.6	4.4	1.2
sampl_92	6.1	3	4.6	1.4
sampl_93	5.8	2.6	4	1.2
sampl_94	5	2.3	3.3	1
sampl_95	5.6	2.7	4.2	1.3
sampl_96	5.7	3	4.2	1.2
sampl_97	5.7	2.9	4.2	1.3
sampl_98	6.2	2.9	4.3	1.3
sampl_99	5.1	2.5	3	1.1
sampl_100	5.7	2.8	4.1	1.3
sampl_101	6.3	3.3	6	2.5
sampl_102	5.8	2.7	5.1	1.9
sampl_103	7.1	3	5.9	2.1
sampl_104	6.3	2.9	5.6	1.8
sampl_105	6.5	3	5.8	2.2
sampl_106	7.6	3	6.6	2.1
sampl_107	4.9	2.5	4.5	1.7
sampl_108	7.3	2.9	6.3	1.8
sampl_109	6.7	2.5	5.8	1.8
sampl_110	7.2	3.6	6.1	2.5
sampl_111	6.5	3.2	5.1	2
sampl_112	6.4	2.7	5.3	1.9
sampl_113	6.8	3	5.5	2.1
sampl_114	5.7	2.5	5	2
sampl_115	5.8	2.8	5.1	2.4
sampl_116	6.4	3.2	5.3	2.3
sampl_117	6.5	3	5.5	1.8
sampl_118	7.7	3.8	6.7	2.2
sampl_119	7.7	2.6	6.9	2.3
sampl_120	6	2.2	5	1.5
sampl_121	6.9	3.2	5.7	2.3
sampl_122	5.6	2.8	4.9	2
sampl_123	7.7	2.8	6.7	2
sampl_124	6.3	2.7	4.9	1.8
sampl_125	6.7	3.3	5.7	2.1
sampl_126	7.2	3.2	6	1.8
sampl_127	6.2	2.8	4.8	1.8
sampl_128	6.1	3	4.9	1.8
sampl_129	6.4	2.8	5.6	2.1
sampl_130	7.2	3	5.8	1.6
sampl_131	7.4	2.8	6.1	1.9
sampl_132	7.9	3.8	6.4	2
sampl_133	6.4	2.8	5.6	2.2
sampl_134	6.3	2.8	5.1	1.5
sampl_135	6.1	2.6	5.6	1.4
sampl_136	7.7	3	6.1	2.3
sampl_137	6.3	3.4	5.6	2.4
sampl_138	6.4	3.1	5.5	1.8
sampl_139	6	3	4.8	1.8
sampl_140	6.9	3.1	5.4	2.1
sampl_141	6.7	3.1	5.6	2.4
sampl_142	6.9	3.1	5.1	2.3
sampl_143	5.8	2.7	5.1	1.9
sampl_144	6.8	3.2	5.9	2.3
sampl_145	6.7	3.3	5.7	2.5
sampl_146	6.7	3	5.2	2.3
sampl_147	6.3	2.5	5	1.9
sampl_148	6.5	3	5.2	2
sampl_149	6.2	3.4	5.4	2.3
sampl_150	5.9	3	5.1	1.8
